subscriber_type,trip_id,start_date,subscriber_type_1,start_station_name,start_station_id,station_id,name,landmark
Subscriber,1075615,2016-01-29 02:55:00.000000 UTC,Subscriber,Sequoia Hospital,21,21,Franklin at Maple,Redwood City
Subscriber,1123927,2016-03-14 18:08:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1123325,2016-03-14 11:38:00.000000 UTC,Subscriber,Sequoia Hospital,21,21,Franklin at Maple,Redwood City
Subscriber,1124273,2016-03-15 07:20:00.000000 UTC,Subscriber,Sequoia Hospital,21,21,Franklin at Maple,Redwood City
Subscriber,1140802,2016-03-29 08:32:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1077375,2016-02-01 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1125197,2016-03-15 16:39:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1138411,2016-03-26 16:08:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1063239,2016-01-16 18:11:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1129578,2016-03-18 14:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1101147,2016-02-22 15:05:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,22,Redwood City Caltrain Station,Redwood City
Subscriber,1094674,2016-02-16 12:19:00.000000 UTC,Subscriber,San Mateo County Center,23,23,San Mateo County Center,Redwood City
Subscriber,1098960,2016-02-19 15:01:00.000000 UTC,Subscriber,San Mateo County Center,23,23,San Mateo County Center,Redwood City
Subscriber,1124946,2016-03-15 13:11:00.000000 UTC,Subscriber,Redwood City Public Library,24,24,Redwood City Public Library,Redwood City
Subscriber,1067095,2016-01-21 10:43:00.000000 UTC,Subscriber,Redwood City Public Library,24,24,Redwood City Public Library,Redwood City
Subscriber,1096574,2016-02-17 17:12:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1129774,2016-03-18 16:59:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1133210,2016-03-22 17:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1131778,2016-03-21 17:11:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1136388,2016-03-24 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1123690,2016-03-14 17:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1099132,2016-02-19 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1091997,2016-02-12 17:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1114494,2016-03-03 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1097828,2016-02-18 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1126914,2016-03-16 17:12:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1073523,2016-01-27 17:04:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1121990,2016-03-11 15:47:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1104577,2016-02-24 17:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1115670,2016-03-04 17:12:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1139995,2016-03-28 17:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1058776,2016-01-12 17:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1064629,2016-01-19 17:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1070385,2016-01-25 16:58:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1095059,2016-02-16 17:11:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1125302,2016-03-15 17:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1068400,2016-01-22 16:52:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1052160,2016-01-05 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1109848,2016-02-29 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1090544,2016-02-11 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1106156,2016-02-25 17:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1085875,2016-02-08 17:00:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1143371,2016-03-30 17:11:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1121385,2016-03-10 17:11:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1071957,2016-01-26 17:04:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1117326,2016-03-07 17:11:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1083532,2016-02-05 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1128453,2016-03-17 17:11:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1087449,2016-02-09 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1079384,2016-02-02 17:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1111431,2016-03-01 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1103055,2016-02-23 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1063948,2016-01-18 17:01:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1118877,2016-03-08 17:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1080796,2016-02-03 17:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1061462,2016-01-14 17:03:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1101385,2016-02-22 17:02:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1137765,2016-03-25 17:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1097991,2016-02-18 18:04:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1120227,2016-03-09 17:14:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1076282,2016-01-29 17:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1057310,2016-01-11 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1141581,2016-03-29 17:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1078149,2016-02-01 17:00:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1066102,2016-01-20 17:13:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1134769,2016-03-23 17:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1060171,2016-01-13 16:59:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1055531,2016-01-08 17:00:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1088918,2016-02-10 17:04:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1067501,2016-01-21 16:59:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1107584,2016-02-26 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1123645,2016-03-14 16:58:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1115228,2016-03-04 08:57:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1136529,2016-03-24 17:53:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1083698,2016-02-05 18:00:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1080463,2016-02-03 12:18:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1073273,2016-01-27 14:38:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1075015,2016-01-28 16:27:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1106031,2016-02-25 16:29:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1090453,2016-02-11 16:30:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1102924,2016-02-23 16:26:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1065926,2016-01-20 16:25:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1104428,2016-02-24 16:24:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1102923,2016-02-23 16:26:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1141409,2016-03-29 16:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1101290,2016-02-22 16:28:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1074977,2016-01-28 16:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1114340,2016-03-03 16:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1065932,2016-01-20 16:26:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1112903,2016-03-02 16:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1136209,2016-03-24 16:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1137663,2016-03-25 16:29:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1085729,2016-02-08 16:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1060085,2016-01-13 16:28:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1125131,2016-03-15 16:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1088788,2016-02-10 16:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
Subscriber,1105990,2016-02-25 16:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,25,Stanford in Redwood City,Redwood City
